,HT,AT,SHT,AHT,+3.5,-3.5,OS,+>=-,target
121,Cruzeiro,Avaí,1,1,2.9,1.38,2,0,0
122,Avaí,Athletico-PR,1,2,4.0,1.2,3,0,0
123,Grêmio,Sport Recife,1,1,3.5,1.25,2,0,0
124,Chapecoense,Fluminense,2,1,4.15,1.2,3,0,0
125,Santos,Joinville,2,0,3.75,1.25,2,0,0
126,Goiás,Flamengo,0,1,4.4,1.18,1,0,0
127,Ponte Preta,Internacional,0,0,4.0,1.22,0,0,0
128,São Paulo,Cruzeiro,1,0,4.1,1.2,1,0,0
129,Atlético Mineiro,São Paulo,3,1,3.4,1.3,4,0,1
130,Corinthians,Vasco da Gama,3,0,3.6,1.25,3,0,0
131,Fluminense,Grêmio,1,0,4.4,1.18,1,0,0
132,Fluminense,Grêmio,1,0,4.4,1.18,1,0,0
133,Figueirense,Ponte Preta,3,1,4.4,1.18,4,0,1
134,Flamengo,Santos,2,2,3.75,1.25,4,0,1
135,Internacional,Chapecoense,0,0,4.2,1.2,0,0,0
136,Joinville,Avaí,2,0,4.25,1.2,2,0,0
137,Sport Recife,Cruzeiro,0,0,4.1,1.2,0,0,0
138,Avaí,Fluminense,1,0,4.0,1.2,1,0,0
139,Santos,Coritiba,3,0,3.4,1.3,3,0,0
140,Athletico-PR,Sport Recife,1,1,4.0,1.22,2,0,0
141,Vasco da Gama,Joinville,0,0,5.0,1.16,0,0,0
142,Cruzeiro,Palmeiras,2,1,4.25,1.2,3,0,0
143,Ponte Preta,Flamengo,1,0,4.3,1.2,1,0,0
144,São Paulo,Corinthians,1,1,5.25,1.15,2,0,0
145,Grêmio,Internacional,5,0,4.2,1.2,5,0,1
146,Coritiba,Palmeiras,2,1,4.0,1.2,3,0,0
147,Flamengo,Athletico-PR,3,2,3.75,1.22,5,0,1
148,Figueirense,São Paulo,0,2,4.1,1.2,2,0,0
149,Internacional,Fluminense,1,0,4.3,1.18,1,0,0
150,Ponte Preta,Avaí,2,0,3.75,1.22,2,0,0
151,Atlético Mineiro,Grêmio,0,2,3.75,1.25,2,0,0
152,Joinville,Cruzeiro,3,0,5.0,1.16,3,0,0
153,Athletico-PR,Santos,0,0,3.75,1.22,0,0,0
154,Vasco da Gama,Coritiba,0,1,4.3,1.2,1,0,0
155,São Paulo,Goiás,0,3,4.0,1.22,3,0,0
156,Palmeiras,Flamengo,4,2,3.75,1.22,6,0,1
157,Avaí,Corinthians,1,2,4.4,1.18,3,0,0
158,Cruzeiro,Internacional,0,0,4.3,1.2,0,0,0
159,Fluminense,Figueirense,2,1,4.3,1.2,3,0,0
160,Sport Recife,Ponte Preta,1,1,3.75,1.25,2,0,0
161,Grêmio,Joinville,2,1,3.75,1.25,3,0,0
162,Santos,Avaí,5,2,3.0,1.35,7,0,1
163,Figueirense,Sport Recife,2,1,4.1,1.2,3,0,0
164,Coritiba,Chapecoense,1,0,4.75,1.16,1,0,0
165,Ponte Preta,Grêmio,0,0,4.3,1.18,0,0,0
166,Corinthians,Cruzeiro,3,0,4.3,1.18,3,0,0
167,Flamengo,São Paulo,2,1,3.5,1.25,3,0,0
168,Internacional,Athletico-PR,2,0,4.0,1.2,2,0,0
169,Joinville,Fluminense,2,1,4.3,1.18,3,0,0
170,Atlético Mineiro,Palmeiras,2,1,3.1,1.35,3,0,0
171,São Paulo,Ponte Preta,3,0,3.75,1.25,3,0,0
172,Avaí,Internacional,3,0,4.1,1.2,3,0,0
173,Grêmio,Coritiba,0,0,4.5,1.18,0,0,0
174,Chapecoense,Corinthians,1,3,5.5,1.13,4,0,1
175,Fluminense,Atlético Mineiro,1,2,3.4,1.28,3,0,0
176,Palmeiras,Joinville,3,2,3.3,1.3,5,0,1
177,Sport Recife,Flamengo,0,1,3.6,1.25,1,0,0
178,Athletico-PR,Goiás,3,0,4.3,1.18,3,0,0
179,Cruzeiro,Santos,0,1,4.3,1.2,1,0,0
180,Internacional,Vasco da Gama,6,0,3.75,1.25,6,0,1
181,Joinville,São Paulo,0,0,3.75,1.25,0,0,0
182,Ponte Preta,Cruzeiro,1,2,4.2,1.2,3,0,0
183,Atlético Mineiro,Athletico-PR,0,1,3.0,1.35,1,0,0
184,Atlético Mineiro,Athletico-PR,0,1,3.0,1.35,1,0,0
185,Corinthians,Fluminense,2,0,4.3,1.2,2,0,0
186,Coritiba,Sport Recife,0,0,4.0,1.22,0,0,0
187,Goiás,Palmeiras,1,0,4.1,1.2,1,0,0
188,Santos,Chapecoense,3,1,3.75,1.22,4,0,1
189,São Paulo,Internacional,2,0,3.75,1.25,2,0,0
190,Vasco da Gama,Atlético Mineiro,1,2,3.2,1.3,3,0,0
191,Athletico-PR,Joinville,0,0,4.0,1.2,0,0,0
192,Cruzeiro,Figueirense,5,1,4.0,1.22,6,0,1
193,Avaí,Coritiba,0,2,4.3,1.2,2,0,0
194,Fluminense,Flamengo,1,3,4.3,1.18,4,0,1
195,Grêmio,Goiás,2,1,4.8,1.16,3,0,0
196,Palmeiras,Corinthians,3,3,4.25,1.2,6,0,1
197,Sport Recife,Santos,1,1,3.6,1.25,2,0,0
198,Atlético Mineiro,Avaí,2,0,2.5,1.48,2,0,0
199,Internacional,Palmeiras,1,0,3.75,1.25,1,0,0
200,Ponte Preta,Vasco da Gama,0,1,3.75,1.25,1,0,0
201,Figueirense,Athletico-PR,1,1,4.3,1.18,2,0,0
202,Figueirense,Athletico-PR,1,1,4.3,1.18,2,0,0
203,Santos,São Paulo,3,0,3.75,1.25,3,0,0
204,Goiás,Sport Recife,1,0,4.4,1.18,1,0,0
205,Flamengo,Cruzeiro,2,0,4.0,1.22,2,0,0
206,Joinville,Chapecoense,0,0,5.25,1.15,0,0,0
207,Palmeiras,Figueirense,2,0,3.1,1.33,2,0,0
208,Corinthians,Joinville,3,0,3.5,1.28,3,0,0
209,Ponte Preta,Santos,3,1,4.0,1.22,4,0,1
210,Chapecoense,Flamengo,1,3,5.75,1.12,4,0,1
211,Grêmio,São Paulo,1,2,3.75,1.22,3,0,0
212,Vasco da Gama,Athletico-PR,2,0,4.3,1.2,2,0,0
213,Avaí,Goiás,2,1,4.75,1.17,3,0,0
214,Sport Recife,Fluminense,1,0,3.75,1.25,1,0,0
215,Fluminense,Palmeiras,1,4,3.8,1.22,5,0,1
216,Goiás,Ponte Preta,1,2,3.75,1.25,3,0,0
217,Joinville,Sport Recife,1,1,4.3,1.18,2,0,0
218,Athletico-PR,Grêmio,1,2,4.1,1.2,3,0,0
219,Athletico-PR,Grêmio,1,2,4.1,1.2,3,0,0
220,Cruzeiro,Vasco da Gama,2,2,3.5,1.25,4,0,1
221,Internacional,Corinthians,2,1,4.3,1.18,3,0,0
222,Santos,Atlético Mineiro,4,0,3.1,1.33,4,0,1
223,São Paulo,Chapecoense,0,0,3.75,1.25,0,0,0
224,Flamengo,Coritiba,0,2,4.0,1.22,2,0,0
225,Internacional,Figueirense,1,1,4.0,1.2,2,0,0
226,Ponte Preta,Fluminense,3,1,4.3,1.2,4,0,1
227,Corinthians,Santos,2,0,3.9,1.22,2,0,0
228,Goiás,Joinville,3,0,4.3,1.2,3,0,0
229,Atlético Mineiro,Flamengo,4,1,3.2,1.33,5,0,1
230,Avaí,São Paulo,2,1,4.0,1.22,3,0,0
231,Vasco da Gama,Sport Recife,2,1,4.2,1.2,3,0,0
232,Chapecoense,Cruzeiro,0,2,5.25,1.15,2,0,0
233,Coritiba,Athletico-PR,2,0,5.0,1.16,2,0,0
234,Fluminense,Goiás,2,0,4.0,1.22,2,0,0
235,Grêmio,Avaí,3,1,3.75,1.22,4,0,1
236,Athletico-PR,Ponte Preta,1,2,4.3,1.18,3,0,0
237,Santos,Internacional,3,1,3.75,1.22,4,0,1
238,Figueirense,Corinthians,1,3,4.3,1.2,4,0,1
239,Flamengo,Vasco da Gama,1,2,3.5,1.28,3,0,0
240,Joinville,Atlético Mineiro,2,2,3.75,1.25,4,0,1
241,São Paulo,Palmeiras,1,1,3.4,1.3,2,0,0
242,Cruzeiro,Coritiba,2,0,4.15,1.2,2,0,0
243,Sport Recife,Chapecoense,3,0,4.75,1.17,3,0,0
244,Coritiba,Atlético Mineiro,0,3,3.5,1.28,3,0,0
245,Internacional,Sport Recife,2,1,3.75,1.25,3,0,0
246,São Paulo,Athletico-PR,1,0,4.0,1.2,1,0,0
247,Avaí,Vasco da Gama,1,1,4.0,1.22,2,0,0
248,Flamengo,Joinville,2,0,3.25,1.3,2,0,0
249,Cruzeiro,Grêmio,0,0,4.3,1.18,0,0,0
250,Goiás,Figueirense,2,3,4.3,1.2,5,0,1
251,Ponte Preta,Corinthians,2,2,4.0,1.2,4,0,1
252,Santos,Fluminense,3,1,3.4,1.28,4,0,1
253,Chapecoense,Palmeiras,5,1,4.75,1.17,6,0,1
254,Atlético Mineiro,Internacional,2,1,2.65,1.45,3,0,0
255,Sport Recife,Avaí,3,0,3.75,1.25,3,0,0
256,Figueirense,Flamengo,3,0,4.0,1.22,3,0,0
257,Joinville,Coritiba,3,1,4.8,1.16,4,0,1
258,Joinville,Coritiba,3,1,4.8,1.16,4,0,1
259,Athletico-PR,Cruzeiro,2,2,4.3,1.2,4,0,1
260,Fluminense,São Paulo,2,0,3.8,1.22,2,0,0
261,Corinthians,Goiás,3,0,3.75,1.25,3,0,0
262,Avaí,Palmeiras,1,3,4.0,1.2,4,0,1
263,Joinville,Figueirense,1,0,4.3,1.2,1,0,0
264,Cruzeiro,Fluminense,2,0,4.0,1.22,2,0,0
265,Ponte Preta,Coritiba,3,0,4.3,1.2,3,0,0
266,Athletico-PR,Corinthians,1,4,4.15,1.2,5,0,1
267,Grêmio,Chapecoense,2,3,4.0,1.2,5,0,1
268,Santos,Goiás,3,1,3.4,1.3,4,0,1
269,Sport Recife,Atlético Mineiro,4,1,3.2,1.3,5,0,1
270,Fluminense,Athletico-PR,0,1,4.3,1.2,1,0,0
271,Figueirense,Santos,0,0,3.6,1.25,0,0,0
272,Internacional,Joinville,1,0,3.5,1.25,1,0,0
273,Palmeiras,Sport Recife,0,2,3.2,1.33,2,0,0
274,Chapecoense,Avaí,0,0,4.4,1.18,0,0,0
275,Corinthians,Flamengo,1,0,3.75,1.25,1,0,0
276,Coritiba,São Paulo,1,2,3.75,1.22,3,0,0
277,Vasco da Gama,Grêmio,0,0,4.3,1.2,0,0,0
278,Atlético Mineiro,Ponte Preta,2,1,3.0,1.38,3,0,0
279,São Paulo,Sport Recife,3,0,3.4,1.3,3,0,0
280,Avaí,Cruzeiro,1,1,4.0,1.22,2,0,0
281,Ponte Preta,Joinville,1,0,4.0,1.2,1,0,0
282,Coritiba,Figueirense,1,1,4.3,1.2,2,0,0
283,Atlético Mineiro,Corinthians,0,3,3.5,1.25,3,0,0
284,Chapecoense,Athletico-PR,0,0,4.0,1.22,0,0,0
285,Grêmio,Flamengo,2,0,4.0,1.22,2,0,0
286,Santos,Palmeiras,2,1,3.2,1.33,3,0,0
287,Vasco da Gama,Fluminense,0,1,3.9,1.22,1,0,0
288,Goiás,Internacional,2,1,4.25,1.2,3,0,0
289,Internacional,Ponte Preta,1,0,3.5,1.25,1,0,0
290,Athletico-PR,Avaí,2,1,4.0,1.22,3,0,0
291,Corinthians,Coritiba,2,1,3.4,1.3,3,0,0
292,Fluminense,Chapecoense,2,3,4.75,1.16,5,0,1
293,Cruzeiro,São Paulo,2,1,4.0,1.2,3,0,0
294,Figueirense,Atlético Mineiro,0,1,3.6,1.25,1,0,0
295,Flamengo,Goiás,4,1,3.6,1.25,5,0,1
296,Palmeiras,Vasco da Gama,0,2,3.0,1.38,2,0,0
297,Joinville,Santos,0,0,3.4,1.28,0,0,0
298,Sport Recife,Grêmio,1,0,4.0,1.22,1,0,0
299,Cruzeiro,Sport Recife,3,0,3.2,1.33,3,0,0
300,Goiás,Coritiba,1,3,3.75,1.22,4,0,1
301,Athletico-PR,Palmeiras,3,3,3.5,1.25,6,0,1
302,Avaí,Joinville,2,1,4.3,1.18,3,0,0
303,Ponte Preta,Figueirense,0,1,4.0,1.22,1,0,0
304,Chapecoense,Internacional,1,0,4.5,1.18,1,0,0
305,Grêmio,Fluminense,1,0,3.75,1.25,1,0,0
306,São Paulo,Atlético Mineiro,4,2,2.8,1.4,6,0,1
307,Vasco da Gama,Corinthians,1,1,4.15,1.2,2,0,0
308,Palmeiras,Cruzeiro,1,1,3.4,1.28,2,0,0
309,Atlético Mineiro,Goiás,2,2,2.5,1.48,4,0,1
310,Corinthians,São Paulo,6,1,3.5,1.25,7,0,1
311,Figueirense,Chapecoense,0,0,4.3,1.2,0,0,0
312,Internacional,Grêmio,1,0,4.3,1.18,1,0,0
313,Flamengo,Ponte Preta,1,1,3.7,1.25,2,0,0
314,Coritiba,Santos,1,0,3.5,1.25,1,0,0
315,Fluminense,Avaí,3,1,4.3,1.2,4,0,1
316,Sport Recife,Athletico-PR,0,0,3.3,1.3,0,0,0
317,São Paulo,Figueirense,3,2,3.2,1.3,5,0,1
318,Fluminense,Internacional,1,1,3.75,1.22,2,0,0
319,Avaí,Ponte Preta,1,0,3.5,1.25,1,0,0
320,Cruzeiro,Joinville,3,0,3.0,1.38,3,0,0
321,Grêmio,Atlético Mineiro,2,1,3.4,1.3,3,0,0
322,Sport Recife,Corinthians,2,0,3.2,1.3,2,0,0
323,Chapecoense,Goiás,1,3,3.7,1.25,4,0,1
324,Palmeiras,Coritiba,0,2,3.75,1.25,2,0,0
325,Flamengo,Sport Recife,1,0,3.3,1.25,1,0,0
326,Palmeiras,Athletico-PR,4,0,3.5,1.25,4,0,1
327,Atlético Mineiro,Santos,1,0,3.5,1.25,1,0,0
328,Coritiba,Cruzeiro,1,0,4.0,1.18,1,0,0
329,Botafogo,São Paulo,0,1,4.0,1.2,1,0,0
330,Santa Cruz,Vitória,4,1,3.5,1.22,5,0,1
331,América-MG,Fluminense,0,1,3.5,1.25,1,0,0
332,Corinthians,Grêmio,0,0,4.1,1.18,0,0,0
333,Figueirense,Ponte Preta,0,0,4.0,1.18,0,0,0
334,Internacional,Chapecoense,0,0,4.0,1.18,0,0,0
335,Ponte Preta,Palmeiras,2,1,4.0,1.2,3,0,0
336,Fluminense,Santa Cruz,2,2,3.3,1.25,4,0,1
337,Cruzeiro,Figueirense,2,2,3.8,1.2,4,0,1
338,Athletico-PR,Atlético Mineiro,1,1,3.5,1.22,2,0,0
339,Santos,Coritiba,2,1,3.5,1.25,3,0,0
340,Chapecoense,América-MG,3,1,4.0,1.2,4,0,1
341,Grêmio,Flamengo,1,0,4.0,1.2,1,0,0
342,São Paulo,Internacional,1,2,4.0,1.2,3,0,0
343,Vitória,Corinthians,3,2,3.8,1.2,5,0,1
344,Sport Recife,Botafogo,1,1,3.5,1.22,2,0,0
345,Botafogo,Athletico-PR,2,1,3.9,1.2,3,0,0
346,Figueirense,Santos,2,2,4.0,1.2,4,0,1
347,América-MG,Vitória,1,1,3.0,1.3,2,0,0
348,Flamengo,Chapecoense,2,2,4.0,1.2,4,0,1
349,Flamengo,Chapecoense,2,2,4.0,1.2,4,0,1
350,Palmeiras,Fluminense,2,0,3.3,1.28,2,0,0
351,Santa Cruz,Cruzeiro,4,1,3.5,1.25,5,0,1
352,Corinthians,Ponte Preta,3,0,3.1,1.3,3,0,0
353,Internacional,Sport Recife,1,0,4.0,1.18,1,0,0
354,Atlético Mineiro,Grêmio,0,3,3.8,1.2,3,0,0
355,Cruzeiro,América-MG,1,1,3.2,1.28,2,0,0
356,Athletico-PR,Figueirense,2,1,3.5,1.25,3,0,0
357,Chapecoense,Santa Cruz,1,1,3.5,1.25,2,0,0
358,Ponte Preta,Flamengo,1,2,3.6,1.22,3,0,0
359,Sport Recife,Corinthians,0,2,4.0,1.2,2,0,0
360,Fluminense,Botafogo,1,0,3.6,1.22,1,0,0
361,São Paulo,Palmeiras,1,0,3.8,1.22,1,0,0
362,Vitória,Atlético Mineiro,1,1,3.2,1.3,2,0,0
363,Grêmio,Coritiba,2,0,3.8,1.22,2,0,0
364,Santos,Internacional,0,1,3.9,1.2,1,0,0
365,Internacional,Athletico-PR,1,0,3.5,1.22,1,0,0
366,Corinthians,Santos,1,0,4.0,1.18,1,0,0
367,Coritiba,Chapecoense,3,4,4.6,1.15,7,0,1
368,Santa Cruz,Sport Recife,0,1,3.7,1.22,1,0,0
369,Santa Cruz,Sport Recife,0,1,3.7,1.22,1,0,0
370,Botafogo,Cruzeiro,0,1,3.6,1.22,1,0,0
371,Figueirense,São Paulo,1,0,4.0,1.18,1,0,0
372,América-MG,Ponte Preta,1,2,3.75,1.22,3,0,0
373,Flamengo,Vitória,1,0,2.8,1.38,1,0,0
374,Palmeiras,Grêmio,4,3,3.75,1.22,7,0,1
375,Athletico-PR,Santa Cruz,1,0,3.0,1.3,1,0,0
376,Chapecoense,Fluminense,0,0,4.0,1.2,0,0,0
377,Corinthians,Coritiba,2,1,3.5,1.25,3,0,0
378,América-MG,Figueirense,1,0,4.0,1.18,1,0,0
379,Santos,Botafogo,3,0,4.0,1.2,3,0,0
380,Flamengo,Palmeiras,1,2,3.5,1.25,3,0,0
381,Grêmio,Ponte Preta,1,0,3.8,1.22,1,0,0
382,Sport Recife,Atlético Mineiro,4,4,3.4,1.25,8,0,1
383,Vitória,Internacional,1,0,4.0,1.18,1,0,0
384,Cruzeiro,São Paulo,0,1,3.9,1.2,1,0,0
385,Internacional,América-MG,3,1,3.5,1.22,4,0,1
386,Ponte Preta,Chapecoense,2,1,3.8,1.2,3,0,0
387,Fluminense,Grêmio,1,1,4.25,1.18,2,0,0
388,São Paulo,Athletico-PR,1,2,3.4,1.25,3,0,0
389,Botafogo,Vitória,1,1,3.5,1.25,2,0,0
390,Coritiba,Sport Recife,3,2,3.9,1.2,5,0,1
391,Atlético Mineiro,Cruzeiro,2,3,3.3,1.28,5,0,1
392,Figueirense,Flamengo,1,0,3.9,1.2,1,0,0
393,Santa Cruz,Santos,0,2,4.25,1.17,2,0,0
394,Santos,Sport Recife,1,2,3.2,1.3,3,0,0
395,Chapecoense,Grêmio,3,3,4.4,1.16,6,0,1
396,Ponte Preta,Athletico-PR,3,2,3.8,1.22,5,0,1
397,São Paulo,Vitória,2,0,3.0,1.33,2,0,0
398,Botafogo,América-MG,3,1,3.5,1.25,4,0,1
399,Santa Cruz,Figueirense,1,0,4.0,1.2,1,0,0
400,Santos,Sport Recife,2,0,3.0,1.33,2,0,0
401,Coritiba,Palmeiras,2,2,3.5,1.22,4,0,1
402,Cruzeiro,Flamengo,0,1,3.5,1.22,1,0,0
403,Internacional,Atlético Mineiro,2,0,3.2,1.3,2,0,0
404,Fluminense,Corinthians,1,0,4.0,1.2,1,0,0
405,Palmeiras,Santa Cruz,3,1,2.7,1.4,4,0,1
406,Athletico-PR,Santos,1,0,3.5,1.25,1,0,0
407,América-MG,Coritiba,2,1,3.75,1.22,3,0,0
408,Atlético Mineiro,Ponte Preta,3,0,2.8,1.38,3,0,0
409,Vitória,Chapecoense,1,2,3.5,1.25,3,0,0
410,Corinthians,Botafogo,3,1,3.0,1.3,4,0,1
411,Figueirense,Internacional,3,2,4.15,1.18,5,0,1
412,Flamengo,São Paulo,2,2,3.8,1.2,4,0,1
413,Sport Recife,Fluminense,2,1,3.8,1.2,3,0,0
414,Grêmio,Cruzeiro,2,0,3.5,1.25,2,0,0
415,Palmeiras,América-MG,2,0,2.35,1.5,2,0,0
416,Chapecoense,Athletico-PR,0,0,4.25,1.18,0,0,0
417,Chapecoense,Athletico-PR,0,0,4.25,1.18,0,0,0
418,Botafogo,Figueirense,0,0,3.6,1.22,0,0,0
419,Santa Cruz,Flamengo,0,1,3.5,1.25,1,0,0
420,Atlético Mineiro,Corinthians,2,1,3.3,1.28,3,0,0
421,Grêmio,Vitória,1,2,2.9,1.35,3,0,0
