,HT,AT,SHT,AHT,+3.5,-3.5,OS,+>=-,target
0,Chapecoense,Coritiba,2,1,4.3,1.18,3,0,0
1,Palmeiras,Atlético Mineiro,2,2,4.0,1.2,4,0,1
2,Fluminense,Joinville,1,0,3.75,1.22,1,0,0
3,Grêmio,Ponte Preta,3,3,4.2,1.2,6,0,1
4,Athletico-PR,Internacional,3,0,4.0,1.2,3,0,0
5,Cruzeiro,Corinthians,0,1,4.0,1.2,1,0,0
6,São Paulo,Flamengo,2,1,3.9,1.22,3,0,0
7,Sport Recife,Figueirense,4,1,4.1,1.2,5,0,1
8,Avaí,Santos,1,1,3.75,1.22,2,0,0
9,Vasco da Gama,Goiás,0,0,4.3,1.2,0,0,0
10,Coritiba,Grêmio,2,0,4.75,1.16,2,0,0
11,Goiás,Athletico-PR,2,0,4.6,1.17,2,0,0
12,Corinthians,Chapecoense,1,0,4.3,1.2,1,0,0
13,Figueirense,Vasco da Gama,0,0,4.3,1.2,0,0,0
14,Atlético Mineiro,Fluminense,4,1,3.9,1.22,5,0,1
15,Flamengo,Sport Recife,2,2,3.75,1.25,4,0,1
16,Santos,Cruzeiro,1,0,3.75,1.25,1,0,0
17,Internacional,Avaí,1,0,3.1,1.33,1,0,0
18,Joinville,Palmeiras,0,0,4.15,1.2,0,0,0
19,Ponte Preta,São Paulo,1,0,3.75,1.22,1,0,0
20,São Paulo,Joinville,3,0,3.75,1.22,3,0,0
21,Vasco da Gama,Internacional,1,1,4.25,1.2,2,0,0
22,Grêmio,Figueirense,1,0,3.8,1.22,1,0,0
23,Palmeiras,Goiás,0,1,3.9,1.22,1,0,0
24,Athletico-PR,Atlético Mineiro,1,0,3.5,1.28,1,0,0
25,Avaí,Flamengo,2,1,4.0,1.2,3,0,0
26,Chapecoense,Santos,1,0,4.3,1.2,1,0,0
27,Fluminense,Corinthians,0,0,4.4,1.18,0,0,0
28,Cruzeiro,Ponte Preta,1,1,3.75,1.25,2,0,0
29,Sport Recife,Coritiba,1,0,4.15,1.2,1,0,0
30,São Paulo,Joinville,3,0,3.75,1.22,3,0,0
31,Vasco da Gama,Internacional,1,1,4.25,1.2,2,0,0
32,Grêmio,Figueirense,1,0,3.8,1.22,1,0,0
33,Palmeiras,Goiás,0,1,3.9,1.22,1,0,0
34,Athletico-PR,Atlético Mineiro,1,0,3.5,1.28,1,0,0
35,Chapecoense,Santos,1,0,4.3,1.2,1,0,0
36,Fluminense,Corinthians,0,0,4.4,1.18,0,0,0
37,Cruzeiro,Ponte Preta,1,1,3.75,1.25,2,0,0
38,Sport Recife,Coritiba,1,0,4.15,1.2,1,0,0
39,Athletico-PR,Figueirense,1,0,4.3,1.18,1,0,0
40,Chapecoense,Joinville,2,0,4.3,1.18,2,0,0
41,Vasco da Gama,Ponte Preta,0,3,4.25,1.2,3,0,0
42,São Paulo,Santos,3,2,3.9,1.22,5,0,1
43,São Paulo,Santos,3,2,3.9,1.22,5,0,1
44,Cruzeiro,Flamengo,1,0,3.75,1.25,1,0,0
45,Grêmio,Corinthians,3,1,5.1,1.15,4,0,1
46,Fluminense,Coritiba,2,0,4.0,1.22,2,0,0
47,Sport Recife,Goiás,1,0,4.3,1.2,1,0,0
48,Atlético Mineiro,Cruzeiro,1,3,3.1,1.33,4,0,1
49,Flamengo,Chapecoense,1,0,4.3,1.18,1,0,0
50,Santos,Ponte Preta,2,2,3.5,1.25,4,0,1
51,Athletico-PR,Vasco da Gama,2,0,4.0,1.22,2,0,0
52,Joinville,Corinthians,0,1,4.9,1.16,1,0,0
53,São Paulo,Grêmio,2,0,4.3,1.18,2,0,0
54,Internacional,Coritiba,2,0,4.0,1.22,2,0,0
55,Figueirense,Palmeiras,2,1,4.3,1.2,3,0,0
56,Fluminense,Sport Recife,0,0,3.9,1.22,0,0,0
57,Goiás,Avaí,0,1,4.3,1.18,1,0,0
58,Atlético Mineiro,Santos,2,2,2.7,1.42,4,0,1
59,Chapecoense,São Paulo,0,1,4.8,1.16,1,0,0
60,Corinthians,Internacional,2,1,4.9,1.16,3,0,0
61,Coritiba,Flamengo,0,1,4.3,1.18,1,0,0
62,Sport Recife,Joinville,2,1,4.3,1.2,3,0,0
63,Vasco da Gama,Cruzeiro,1,3,4.6,1.2,4,0,1
64,Ponte Preta,Goiás,0,0,4.35,1.2,0,0,0
65,Avaí,Figueirense,1,1,4.3,1.18,2,0,0
66,Grêmio,Athletico-PR,2,1,4.7,1.2,3,0,0
67,Palmeiras,Fluminense,2,1,4.4,1.2,3,0,0
68,Figueirense,Internacional,0,0,4.5,1.18,0,0,0
69,Flamengo,Atlético Mineiro,0,2,3.2,1.3,2,0,0
70,Santos,Corinthians,1,0,4.35,1.2,1,0,0
71,Grêmio,Palmeiras,1,0,4.8,1.18,1,0,0
72,Athletico-PR,Coritiba,2,2,4.3,1.2,4,0,1
73,Joinville,Goiás,2,1,5.35,1.15,3,0,0
74,São Paulo,Avaí,1,1,3.4,1.31,2,0,0
75,Fluminense,Ponte Preta,2,0,4.25,1.2,2,0,0
76,Avaí,Grêmio,1,2,5.0,1.18,3,0,0
77,Chapecoense,Sport Recife,1,1,4.3,1.18,2,0,0
78,Corinthians,Figueirense,2,1,4.3,1.18,3,0,0
79,Atlético Mineiro,Joinville,1,0,2.6,1.48,1,0,0
80,Coritiba,Cruzeiro,1,0,4.2,1.2,1,0,0
81,Goiás,Fluminense,1,2,4.75,1.18,3,0,0
82,Palmeiras,São Paulo,4,0,4.5,1.18,4,0,1
83,Ponte Preta,Athletico-PR,2,1,4.35,1.25,3,0,0
84,Internacional,Santos,1,0,3.75,1.22,1,0,0
85,Vasco da Gama,Flamengo,1,0,4.55,1.2,1,0,0
86,Sport Recife,Internacional,3,0,4.25,1.2,3,0,0
87,Atlético Mineiro,Coritiba,2,0,2.75,1.45,2,0,0
88,Atlético Mineiro,Coritiba,2,0,2.75,1.45,2,0,0
89,Athletico-PR,São Paulo,2,1,4.4,1.2,3,0,0
90,Grêmio,Cruzeiro,1,0,4.0,1.2,1,0,0
91,Joinville,Flamengo,0,1,4.5,1.18,1,0,0
92,Corinthians,Ponte Preta,2,0,4.3,1.18,2,0,0
93,Fluminense,Santos,2,1,4.45,1.25,3,0,0
94,Coritiba,Joinville,0,0,4.4,1.18,0,0,0
95,Chapecoense,Vasco da Gama,1,0,5.0,1.16,1,0,0
96,Cruzeiro,Athletico-PR,2,0,3.75,1.22,2,0,0
97,Goiás,Corinthians,0,0,5.2,1.16,0,0,0
98,Santos,Grêmio,1,3,4.3,1.18,4,0,1
99,São Paulo,Fluminense,0,0,3.5,1.28,0,0,0
100,Ponte Preta,Palmeiras,0,2,3.5,1.25,2,0,0
101,Chapecoense,Grêmio,1,0,5.5,1.15,1,0,0
102,Coritiba,Ponte Preta,0,0,4.3,1.23,0,0,0
103,Goiás,Santos,4,1,4.55,1.18,5,0,1
104,Figueirense,Joinville,0,2,4.8,1.16,2,0,0
105,Figueirense,Joinville,0,2,4.8,1.16,2,0,0
106,Internacional,Flamengo,1,2,4.5,1.2,3,0,0
107,Vasco da Gama,São Paulo,0,4,4.6,1.17,4,0,1
108,Corinthians,Athletico-PR,2,0,4.45,1.2,2,0,0
109,Fluminense,Cruzeiro,1,0,4.0,1.22,1,0,0
110,Grêmio,Vasco da Gama,2,0,3.75,1.25,2,0,0
111,Santos,Figueirense,3,0,3.75,1.25,3,0,0
112,Ponte Preta,Atlético Mineiro,0,2,3.3,1.3,2,0,0
113,Flamengo,Corinthians,0,3,5.25,1.15,3,0,0
114,Avaí,Chapecoense,2,1,5.0,1.16,3,0,0
115,Flamengo,Grêmio,1,0,4.8,1.18,1,0,0
116,Internacional,Goiás,2,1,4.65,1.2,3,0,0
117,Corinthians,Atlético Mineiro,1,0,4.3,1.24,1,0,0
118,Athletico-PR,Chapecoense,1,0,4.8,1.18,1,0,0
119,Palmeiras,Santos,1,0,3.6,1.27,1,0,0
120,Sport Recife,São Paulo,2,0,3.75,1.25,2,0,0
