,HT,AT,SHT,AHT,+1.5,-1.5,OS,+>=-,target
155,São Paulo,Goiás,0,3,1.4,2.85,3,1,1
156,Palmeiras,Flamengo,4,2,1.38,2.9,6,1,1
157,Avaí,Corinthians,1,2,1.48,2.71,3,1,1
158,Cruzeiro,Internacional,0,0,1.42,2.82,0,1,0
159,Fluminense,Figueirense,2,1,1.42,2.7,3,1,1
160,Sport Recife,Ponte Preta,1,1,1.38,3.0,2,1,1
161,Grêmio,Joinville,2,1,1.35,3.0,3,1,1
162,Santos,Avaí,5,2,1.28,3.5,7,1,1
163,Figueirense,Sport Recife,2,1,1.42,2.75,3,1,1
164,Coritiba,Chapecoense,1,0,1.5,2.5,1,1,0
165,Ponte Preta,Grêmio,0,0,1.45,2.65,0,1,0
166,Corinthians,Cruzeiro,3,0,1.45,2.7,3,1,1
167,Flamengo,São Paulo,2,1,1.35,3.1,3,1,1
168,Internacional,Athletico-PR,2,0,1.42,2.8,2,1,1
169,Joinville,Fluminense,2,1,1.45,2.65,3,1,1
170,Atlético Mineiro,Palmeiras,2,1,1.28,3.5,3,1,1
171,São Paulo,Ponte Preta,3,0,1.38,3.0,3,1,1
172,Avaí,Internacional,3,0,1.42,2.7,3,1,1
173,Grêmio,Coritiba,0,0,1.48,2.6,0,1,0
174,Chapecoense,Corinthians,1,3,1.62,2.25,4,1,1
175,Fluminense,Atlético Mineiro,1,2,1.33,3.1,3,1,1
176,Palmeiras,Joinville,3,2,1.3,3.2,5,1,1
177,Sport Recife,Flamengo,0,1,1.35,3.0,1,1,0
178,Athletico-PR,Goiás,3,0,1.45,2.65,3,1,1
179,Cruzeiro,Santos,0,1,1.45,2.7,1,1,0
180,Internacional,Vasco da Gama,6,0,1.35,3.0,6,1,1
181,Joinville,São Paulo,0,0,1.38,3.0,0,1,0
182,Ponte Preta,Cruzeiro,1,2,1.42,2.7,3,1,1
183,Atlético Mineiro,Athletico-PR,0,1,1.25,3.5,1,1,0
184,Atlético Mineiro,Athletico-PR,0,1,1.25,3.5,1,1,0
185,Corinthians,Fluminense,2,0,1.45,2.7,2,1,1
186,Coritiba,Sport Recife,0,0,1.4,2.85,0,1,0
187,Goiás,Palmeiras,1,0,1.42,2.7,1,1,0
188,Santos,Chapecoense,3,1,1.38,3.0,4,1,1
189,São Paulo,Internacional,2,0,1.38,3.0,2,1,1
190,Vasco da Gama,Atlético Mineiro,1,2,1.3,3.2,3,1,1
191,Athletico-PR,Joinville,0,0,1.42,2.8,0,1,0
192,Cruzeiro,Figueirense,5,1,1.4,2.9,6,1,1
193,Avaí,Coritiba,0,2,1.45,2.7,2,1,1
194,Fluminense,Flamengo,1,3,1.45,2.7,4,1,1
195,Grêmio,Goiás,2,1,1.5,2.45,3,1,1
196,Palmeiras,Corinthians,3,3,1.42,2.7,6,1,1
197,Sport Recife,Santos,1,1,1.35,3.0,2,1,1
198,Atlético Mineiro,Avaí,2,0,1.2,4.3,2,1,1
199,Internacional,Palmeiras,1,0,1.35,3.0,1,1,0
200,Ponte Preta,Vasco da Gama,0,1,1.38,3.0,1,1,0
201,Figueirense,Athletico-PR,1,1,1.45,2.6,2,1,1
202,Figueirense,Athletico-PR,1,1,1.45,2.6,2,1,1
203,Santos,São Paulo,3,0,1.35,3.0,3,1,1
204,Goiás,Sport Recife,1,0,1.45,2.6,1,1,0
205,Flamengo,Cruzeiro,2,0,1.42,2.8,2,1,1
206,Joinville,Chapecoense,0,0,1.55,2.35,0,1,0
207,Palmeiras,Figueirense,2,0,1.28,3.4,2,1,1
208,Corinthians,Joinville,3,0,1.33,3.1,3,1,1
209,Ponte Preta,Santos,3,1,1.4,2.85,4,1,1
210,Chapecoense,Flamengo,1,3,1.65,2.15,4,1,1
211,Grêmio,São Paulo,1,2,1.38,2.9,3,1,1
212,Vasco da Gama,Athletico-PR,2,0,1.45,2.7,2,1,1
213,Avaí,Goiás,2,1,1.48,2.5,3,1,1
214,Sport Recife,Fluminense,1,0,1.38,3.0,1,1,0
215,Fluminense,Palmeiras,1,4,1.4,2.9,5,1,1
216,Goiás,Ponte Preta,1,2,1.38,3.0,3,1,1
217,Joinville,Sport Recife,1,1,1.45,2.6,2,1,1
218,Athletico-PR,Grêmio,1,2,1.42,2.7,3,1,1
219,Athletico-PR,Grêmio,1,2,1.42,2.7,3,1,1
220,Cruzeiro,Vasco da Gama,2,2,1.35,3.1,4,1,1
221,Internacional,Corinthians,2,1,1.45,2.6,3,1,1
222,Santos,Atlético Mineiro,4,0,1.28,3.4,4,1,1
223,São Paulo,Chapecoense,0,0,1.38,3.0,0,1,0
224,Flamengo,Coritiba,0,2,1.4,2.85,2,1,1
