,HT,AT,SHT,AHT,+2.5,-2.5,OS,+>=-,target
0,Chapecoense,Coritiba,2,1,2.4,1.53,3,0,1
1,Palmeiras,Atlético Mineiro,2,2,2.3,1.62,4,0,1
2,Fluminense,Joinville,1,0,2.2,1.65,1,0,0
3,Grêmio,Ponte Preta,3,3,2.35,1.57,6,0,1
4,Athletico-PR,Internacional,3,0,2.25,1.62,3,0,1
5,Cruzeiro,Corinthians,0,1,2.3,1.6,1,0,0
6,São Paulo,Flamengo,2,1,2.15,1.67,3,0,1
7,Sport Recife,Figueirense,4,1,2.25,1.62,5,0,1
8,Avaí,Santos,1,1,2.1,1.7,2,0,0
9,Vasco da Gama,Goiás,0,0,2.3,1.6,0,0,0
10,Coritiba,Grêmio,2,0,2.6,1.48,2,0,0
11,Goiás,Athletico-PR,2,0,2.5,1.5,2,0,0
12,Corinthians,Chapecoense,1,0,2.5,1.5,1,0,0
13,Figueirense,Vasco da Gama,0,0,2.4,1.53,0,0,0
14,Atlético Mineiro,Fluminense,4,1,2.2,1.65,5,0,1
15,Flamengo,Sport Recife,2,2,2.1,1.7,4,0,1
16,Santos,Cruzeiro,1,0,2.1,1.7,1,0,0
17,Internacional,Avaí,1,0,1.95,1.85,1,0,0
18,Joinville,Palmeiras,0,0,2.3,1.6,0,0,0
19,Ponte Preta,São Paulo,1,0,2.2,1.65,1,0,0
20,São Paulo,Joinville,3,0,2.1,1.7,3,0,1
21,Vasco da Gama,Internacional,1,1,2.35,1.57,2,0,0
22,Grêmio,Figueirense,1,0,2.15,1.67,1,0,0
23,Palmeiras,Goiás,0,1,2.15,1.67,1,0,0
24,Athletico-PR,Atlético Mineiro,1,0,2.05,1.75,1,0,0
25,Avaí,Flamengo,2,1,2.3,1.6,3,0,1
26,Chapecoense,Santos,1,0,2.3,1.6,1,0,0
27,Fluminense,Corinthians,0,0,2.4,1.53,0,0,0
28,Cruzeiro,Ponte Preta,1,1,2.2,1.65,2,0,0
29,Sport Recife,Coritiba,1,0,2.3,1.6,1,0,0
30,São Paulo,Joinville,3,0,2.1,1.7,3,0,1
31,Vasco da Gama,Internacional,1,1,2.35,1.57,2,0,0
32,Grêmio,Figueirense,1,0,2.15,1.67,1,0,0
