,HT,AT,SHT,AHT,+0.5,-0.5,OS,+>=-,target
77,Chapecoense,Sport Recife,1,1,1.09,1.09,2,0,1
78,Corinthians,Figueirense,2,1,1.09,1.09,3,0,1
79,Atlético Mineiro,Joinville,1,0,1.03,1.03,1,0,1
80,Coritiba,Cruzeiro,1,0,1.09,1.09,1,0,1
81,Goiás,Fluminense,1,2,1.11,1.11,3,0,1
82,Palmeiras,São Paulo,4,0,1.09,1.09,4,0,1
83,Ponte Preta,Athletico-PR,2,1,1.07,1.07,3,0,1
84,Internacional,Santos,1,0,1.08,1.08,1,0,1
85,Vasco da Gama,Flamengo,1,0,1.09,1.09,1,0,1
86,Sport Recife,Internacional,3,0,1.08,1.08,3,0,1
87,Atlético Mineiro,Coritiba,2,0,1.03,1.03,2,0,1
88,Atlético Mineiro,Coritiba,2,0,1.03,1.03,2,0,1
89,Athletico-PR,São Paulo,2,1,1.09,1.09,3,0,1
90,Grêmio,Cruzeiro,1,0,1.08,1.08,1,0,1
91,Joinville,Flamengo,0,1,1.1,1.1,1,0,1
92,Corinthians,Ponte Preta,2,0,1.09,1.09,2,0,1
93,Fluminense,Santos,2,1,1.07,1.07,3,0,1
94,Coritiba,Joinville,0,0,1.1,1.1,0,0,0
95,Chapecoense,Vasco da Gama,1,0,1.11,1.11,1,0,1
96,Cruzeiro,Athletico-PR,2,0,1.08,1.08,2,0,1
97,Goiás,Corinthians,0,0,1.12,1.12,0,0,0
98,Santos,Grêmio,1,3,1.09,1.09,4,0,1
99,São Paulo,Fluminense,0,0,1.06,1.06,0,0,0
100,Ponte Preta,Palmeiras,0,2,1.07,1.07,2,0,1
101,Chapecoense,Grêmio,1,0,1.12,1.12,1,0,1
102,Coritiba,Ponte Preta,0,0,1.09,1.09,0,0,0
103,Goiás,Santos,4,1,1.1,1.1,5,0,1
104,Figueirense,Joinville,0,2,1.1,1.1,2,0,1
105,Figueirense,Joinville,0,2,1.1,1.1,2,0,1
106,Internacional,Flamengo,1,2,1.09,1.09,3,0,1
107,Vasco da Gama,São Paulo,0,4,1.1,1.1,4,0,1
108,Corinthians,Athletico-PR,2,0,1.09,1.09,2,0,1
109,Fluminense,Cruzeiro,1,0,1.08,1.08,1,0,1
110,Grêmio,Vasco da Gama,2,0,1.07,1.07,2,0,1
111,Santos,Figueirense,3,0,1.07,1.07,3,0,1
112,Ponte Preta,Atlético Mineiro,0,2,1.06,1.06,2,0,1
113,Flamengo,Corinthians,0,3,1.12,1.12,3,0,1
114,Avaí,Chapecoense,2,1,1.11,1.11,3,0,1
115,Flamengo,Grêmio,1,0,1.1,1.1,1,0,1
116,Internacional,Goiás,2,1,1.09,1.09,3,0,1
117,Corinthians,Atlético Mineiro,1,0,1.09,1.09,1,0,1
118,Athletico-PR,Chapecoense,1,0,1.09,1.09,1,0,1
119,Palmeiras,Santos,1,0,1.07,1.07,1,0,1
120,Sport Recife,São Paulo,2,0,1.07,1.07,2,0,1
121,Cruzeiro,Avaí,1,1,1.03,1.03,2,0,1
122,Avaí,Athletico-PR,1,2,1.08,1.08,3,0,1
123,Grêmio,Sport Recife,1,1,1.07,1.07,2,0,1
124,Chapecoense,Fluminense,2,1,1.09,1.09,3,0,1
125,Santos,Joinville,2,0,1.07,1.07,2,0,1
126,Goiás,Flamengo,0,1,1.1,1.1,1,0,1
127,Ponte Preta,Internacional,0,0,1.08,1.08,0,0,0
128,São Paulo,Cruzeiro,1,0,1.08,1.08,1,0,1
129,Atlético Mineiro,São Paulo,3,1,1.06,1.06,4,0,1
130,Corinthians,Vasco da Gama,3,0,1.07,1.07,3,0,1
131,Fluminense,Grêmio,1,0,1.1,1.1,1,0,1
132,Fluminense,Grêmio,1,0,1.1,1.1,1,0,1
133,Figueirense,Ponte Preta,3,1,1.1,1.1,4,0,1
134,Flamengo,Santos,2,2,1.07,1.07,4,0,1
135,Internacional,Chapecoense,0,0,1.08,1.08,0,0,0
136,Joinville,Avaí,2,0,1.09,1.09,2,0,1
137,Sport Recife,Cruzeiro,0,0,1.08,1.08,0,0,0
138,Avaí,Fluminense,1,0,1.08,1.08,1,0,1
139,Santos,Coritiba,3,0,1.06,1.06,3,0,1
140,Athletico-PR,Sport Recife,1,1,1.08,1.08,2,0,1
141,Vasco da Gama,Joinville,0,0,1.11,1.11,0,0,0
142,Cruzeiro,Palmeiras,2,1,1.09,1.09,3,0,1
143,Ponte Preta,Flamengo,1,0,1.09,1.09,1,0,1
144,São Paulo,Corinthians,1,1,1.12,1.12,2,0,1
145,Grêmio,Internacional,5,0,1.09,1.09,5,0,1
146,Coritiba,Palmeiras,2,1,1.09,1.09,3,0,1
147,Flamengo,Athletico-PR,3,2,1.08,1.08,5,0,1
148,Figueirense,São Paulo,0,2,1.09,1.09,2,0,1
149,Internacional,Fluminense,1,0,1.09,1.09,1,0,1
150,Ponte Preta,Avaí,2,0,1.08,1.08,2,0,1
151,Atlético Mineiro,Grêmio,0,2,1.07,1.07,2,0,1
152,Joinville,Cruzeiro,3,0,1.11,1.11,3,0,1
153,Athletico-PR,Santos,0,0,1.08,1.08,0,0,0
154,Vasco da Gama,Coritiba,0,1,1.09,1.09,1,0,1
155,São Paulo,Goiás,0,3,1.08,1.08,3,0,1
156,Palmeiras,Flamengo,4,2,1.07,1.07,6,0,1
157,Avaí,Corinthians,1,2,1.1,1.1,3,0,1
158,Cruzeiro,Internacional,0,0,1.09,1.09,0,0,0
159,Fluminense,Figueirense,2,1,1.09,1.09,3,0,1
160,Sport Recife,Ponte Preta,1,1,1.07,1.07,2,0,1
161,Grêmio,Joinville,2,1,1.07,1.07,3,0,1
162,Santos,Avaí,5,2,1.04,1.04,7,0,1
163,Figueirense,Sport Recife,2,1,1.08,1.08,3,0,1
164,Coritiba,Chapecoense,1,0,1.1,1.1,1,0,1
165,Ponte Preta,Grêmio,0,0,1.09,1.09,0,0,0
166,Corinthians,Cruzeiro,3,0,1.09,1.09,3,0,1
167,Flamengo,São Paulo,2,1,1.07,1.07,3,0,1
168,Internacional,Athletico-PR,2,0,1.08,1.08,2,0,1
169,Joinville,Fluminense,2,1,1.1,1.1,3,0,1
170,Atlético Mineiro,Palmeiras,2,1,1.05,1.05,3,0,1
171,São Paulo,Ponte Preta,3,0,1.07,1.07,3,0,1
172,Avaí,Internacional,3,0,1.09,1.09,3,0,1
173,Grêmio,Coritiba,0,0,1.1,1.1,0,0,0
174,Chapecoense,Corinthians,1,3,1.14,1.14,4,0,1
175,Fluminense,Atlético Mineiro,1,2,1.06,1.06,3,0,1
176,Palmeiras,Joinville,3,2,1.06,1.06,5,0,1
177,Sport Recife,Flamengo,0,1,1.07,1.07,1,0,1
178,Athletico-PR,Goiás,3,0,1.09,1.09,3,0,1
179,Cruzeiro,Santos,0,1,1.09,1.09,1,0,1
180,Internacional,Vasco da Gama,6,0,1.07,1.07,6,0,1
181,Joinville,São Paulo,0,0,1.07,1.07,0,0,0
182,Ponte Preta,Cruzeiro,1,2,1.09,1.09,3,0,1
183,Atlético Mineiro,Athletico-PR,0,1,1.04,1.04,1,0,1
184,Atlético Mineiro,Athletico-PR,0,1,1.04,1.04,1,0,1
185,Corinthians,Fluminense,2,0,1.09,1.09,2,0,1
186,Coritiba,Sport Recife,0,0,1.08,1.08,0,0,0
187,Goiás,Palmeiras,1,0,1.09,1.09,1,0,1
188,Santos,Chapecoense,3,1,1.07,1.07,4,0,1
189,São Paulo,Internacional,2,0,1.07,1.07,2,0,1
190,Vasco da Gama,Atlético Mineiro,1,2,1.05,1.05,3,0,1
191,Athletico-PR,Joinville,0,0,1.08,1.08,0,0,0
192,Cruzeiro,Figueirense,5,1,1.08,1.08,6,0,1
193,Avaí,Coritiba,0,2,1.09,1.09,2,0,1
194,Fluminense,Flamengo,1,3,1.09,1.09,4,0,1
195,Grêmio,Goiás,2,1,1.1,1.1,3,0,1
196,Palmeiras,Corinthians,3,3,1.09,1.09,6,0,1
197,Sport Recife,Santos,1,1,1.07,1.07,2,0,1
198,Atlético Mineiro,Avaí,2,0,1.02,1.02,2,0,1
199,Internacional,Palmeiras,1,0,1.07,1.07,1,0,1
200,Ponte Preta,Vasco da Gama,0,1,1.07,1.07,1,0,1
201,Figueirense,Athletico-PR,1,1,1.1,1.1,2,0,1
202,Figueirense,Athletico-PR,1,1,1.1,1.1,2,0,1
203,Santos,São Paulo,3,0,1.07,1.07,3,0,1
204,Goiás,Sport Recife,1,0,1.09,1.09,1,0,1
205,Flamengo,Cruzeiro,2,0,1.08,1.08,2,0,1
206,Joinville,Chapecoense,0,0,1.11,1.11,0,0,0
207,Palmeiras,Figueirense,2,0,1.05,1.05,2,0,1
208,Corinthians,Joinville,3,0,1.06,1.06,3,0,1
209,Ponte Preta,Santos,3,1,1.08,1.08,4,0,1
210,Chapecoense,Flamengo,1,3,1.15,1.15,4,0,1
211,Grêmio,São Paulo,1,2,1.07,1.07,3,0,1
212,Vasco da Gama,Athletico-PR,2,0,1.09,1.09,2,0,1
213,Avaí,Goiás,2,1,1.1,1.1,3,0,1
214,Sport Recife,Fluminense,1,0,1.07,1.07,1,0,1
215,Fluminense,Palmeiras,1,4,1.08,1.08,5,0,1
216,Goiás,Ponte Preta,1,2,1.07,1.07,3,0,1
217,Joinville,Sport Recife,1,1,1.1,1.1,2,0,1
218,Athletico-PR,Grêmio,1,2,1.09,1.09,3,0,1
219,Athletico-PR,Grêmio,1,2,1.09,1.09,3,0,1
220,Cruzeiro,Vasco da Gama,2,2,1.06,1.06,4,0,1
221,Internacional,Corinthians,2,1,1.1,1.1,3,0,1
222,Santos,Atlético Mineiro,4,0,1.05,1.05,4,0,1
223,São Paulo,Chapecoense,0,0,1.07,1.07,0,0,0
224,Flamengo,Coritiba,0,2,1.08,1.08,2,0,1
225,Internacional,Figueirense,1,1,1.08,1.08,2,0,1
226,Ponte Preta,Fluminense,3,1,1.09,1.09,4,0,1
227,Corinthians,Santos,2,0,1.08,1.08,2,0,1
228,Goiás,Joinville,3,0,1.08,1.08,3,0,1
229,Atlético Mineiro,Flamengo,4,1,1.05,1.05,5,0,1
230,Avaí,São Paulo,2,1,1.08,1.08,3,0,1
231,Vasco da Gama,Sport Recife,2,1,1.09,1.09,3,0,1
232,Chapecoense,Cruzeiro,0,2,1.12,1.12,2,0,1
233,Coritiba,Athletico-PR,2,0,1.12,1.12,2,0,1
234,Fluminense,Goiás,2,0,1.08,1.08,2,0,1
235,Grêmio,Avaí,3,1,1.07,1.07,4,0,1
236,Athletico-PR,Ponte Preta,1,2,1.09,1.09,3,0,1
237,Santos,Internacional,3,1,1.07,1.07,4,0,1
238,Figueirense,Corinthians,1,3,1.09,1.09,4,0,1
239,Flamengo,Vasco da Gama,1,2,1.06,1.06,3,0,1
240,Joinville,Atlético Mineiro,2,2,1.07,1.07,4,0,1
241,São Paulo,Palmeiras,1,1,1.06,1.06,2,0,1
242,Cruzeiro,Coritiba,2,0,1.08,1.08,2,0,1
243,Sport Recife,Chapecoense,3,0,1.1,1.1,3,0,1
244,Coritiba,Atlético Mineiro,0,3,1.06,1.06,3,0,1
245,Internacional,Sport Recife,2,1,1.07,1.07,3,0,1
246,São Paulo,Athletico-PR,1,0,1.08,1.08,1,0,1
247,Avaí,Vasco da Gama,1,1,1.08,1.08,2,0,1
248,Flamengo,Joinville,2,0,1.05,1.05,2,0,1
249,Cruzeiro,Grêmio,0,0,1.09,1.09,0,0,0
250,Goiás,Figueirense,2,3,1.09,1.09,5,0,1
251,Ponte Preta,Corinthians,2,2,1.09,1.09,4,0,1
252,Santos,Fluminense,3,1,1.06,1.06,4,0,1
253,Chapecoense,Palmeiras,5,1,1.1,1.1,6,0,1
254,Atlético Mineiro,Internacional,2,1,1.03,1.03,3,0,1
255,Sport Recife,Avaí,3,0,1.07,1.07,3,0,1
256,Figueirense,Flamengo,3,0,1.08,1.08,3,0,1
257,Joinville,Coritiba,3,1,1.11,1.11,4,0,1
258,Joinville,Coritiba,3,1,1.11,1.11,4,0,1
259,Athletico-PR,Cruzeiro,2,2,1.09,1.09,4,0,1
260,Fluminense,São Paulo,2,0,1.08,1.08,2,0,1
261,Corinthians,Goiás,3,0,1.07,1.07,3,0,1
262,Avaí,Palmeiras,1,3,1.08,1.08,4,0,1
263,Joinville,Figueirense,1,0,1.09,1.09,1,0,1
264,Cruzeiro,Fluminense,2,0,1.08,1.08,2,0,1
265,Ponte Preta,Coritiba,3,0,1.09,1.09,3,0,1
266,Athletico-PR,Corinthians,1,4,1.09,1.09,5,0,1
267,Grêmio,Chapecoense,2,3,1.08,1.08,5,0,1
268,Santos,Goiás,3,1,1.06,1.06,4,0,1
269,Sport Recife,Atlético Mineiro,4,1,1.05,1.05,5,0,1
270,Fluminense,Athletico-PR,0,1,1.09,1.09,1,0,1
271,Figueirense,Santos,0,0,1.07,1.07,0,0,0
272,Internacional,Joinville,1,0,1.06,1.06,1,0,1
273,Palmeiras,Sport Recife,0,2,1.05,1.05,2,0,1
274,Chapecoense,Avaí,0,0,1.1,1.1,0,0,0
275,Corinthians,Flamengo,1,0,1.07,1.07,1,0,1
276,Coritiba,São Paulo,1,2,1.08,1.08,3,0,1
277,Vasco da Gama,Grêmio,0,0,1.09,1.09,0,0,0
278,Atlético Mineiro,Ponte Preta,2,1,1.04,1.04,3,0,1
279,São Paulo,Sport Recife,3,0,1.06,1.06,3,0,1
280,Avaí,Cruzeiro,1,1,1.09,1.09,2,0,1
281,Ponte Preta,Joinville,1,0,1.08,1.08,1,0,1
282,Coritiba,Figueirense,1,1,1.09,1.09,2,0,1
283,Atlético Mineiro,Corinthians,0,3,1.06,1.06,3,0,1
284,Chapecoense,Athletico-PR,0,0,1.09,1.09,0,0,0
285,Grêmio,Flamengo,2,0,1.08,1.08,2,0,1
286,Santos,Palmeiras,2,1,1.05,1.05,3,0,1
287,Vasco da Gama,Fluminense,0,1,1.08,1.08,1,0,1
288,Goiás,Internacional,2,1,1.09,1.09,3,0,1
289,Internacional,Ponte Preta,1,0,1.07,1.07,1,0,1
290,Athletico-PR,Avaí,2,1,1.08,1.08,3,0,1
291,Corinthians,Coritiba,2,1,1.05,1.05,3,0,1
292,Fluminense,Chapecoense,2,3,1.1,1.1,5,0,1
293,Cruzeiro,São Paulo,2,1,1.08,1.08,3,0,1
294,Figueirense,Atlético Mineiro,0,1,1.07,1.07,1,0,1
295,Flamengo,Goiás,4,1,1.07,1.07,5,0,1
296,Palmeiras,Vasco da Gama,0,2,1.04,1.04,2,0,1
297,Joinville,Santos,0,0,1.06,1.06,0,0,0
298,Sport Recife,Grêmio,1,0,1.08,1.08,1,0,1
299,Cruzeiro,Sport Recife,3,0,1.05,1.05,3,0,1
300,Goiás,Coritiba,1,3,1.08,1.08,4,0,1
301,Athletico-PR,Palmeiras,3,3,1.07,1.07,6,0,1
302,Avaí,Joinville,2,1,1.09,1.09,3,0,1
303,Ponte Preta,Figueirense,0,1,1.08,1.08,1,0,1
304,Chapecoense,Internacional,1,0,1.1,1.1,1,0,1
305,Grêmio,Fluminense,1,0,1.07,1.07,1,0,1
306,São Paulo,Atlético Mineiro,4,2,1.04,1.04,6,0,1
307,Vasco da Gama,Corinthians,1,1,1.09,1.09,2,0,1
308,Palmeiras,Cruzeiro,1,1,1.06,1.06,2,0,1
309,Atlético Mineiro,Goiás,2,2,1.03,1.03,4,0,1
310,Corinthians,São Paulo,6,1,1.07,1.07,7,0,1
311,Figueirense,Chapecoense,0,0,1.08,1.08,0,0,0
312,Internacional,Grêmio,1,0,1.09,1.09,1,0,1
313,Flamengo,Ponte Preta,1,1,1.07,1.07,2,0,1
314,Coritiba,Santos,1,0,1.07,1.07,1,0,1
315,Fluminense,Avaí,3,1,1.09,1.09,4,0,1
316,Sport Recife,Athletico-PR,0,0,1.06,1.06,0,0,0
317,São Paulo,Figueirense,3,2,1.05,1.05,5,0,1
318,Fluminense,Internacional,1,1,1.08,1.08,2,0,1
319,Avaí,Ponte Preta,1,0,1.07,1.07,1,0,1
320,Cruzeiro,Joinville,3,0,1.04,1.04,3,0,1
321,Grêmio,Atlético Mineiro,2,1,1.06,1.06,3,0,1
322,Sport Recife,Corinthians,2,0,1.05,1.05,2,0,1
323,Chapecoense,Goiás,1,3,1.07,1.07,4,0,1
324,Palmeiras,Coritiba,0,2,1.07,1.07,2,0,1
325,Flamengo,Sport Recife,1,0,1.06,1.06,1,0,1
326,Palmeiras,Athletico-PR,4,0,1.07,1.07,4,0,1
327,Atlético Mineiro,Santos,1,0,1.07,1.07,1,0,1
328,Coritiba,Cruzeiro,1,0,1.09,1.09,1,0,1
329,Botafogo,São Paulo,0,1,1.09,1.09,1,0,1
330,Santa Cruz,Vitória,4,1,1.07,1.07,5,0,1
331,América-MG,Fluminense,0,1,1.07,1.07,1,0,1
332,Corinthians,Grêmio,0,0,1.09,1.09,0,0,0
333,Figueirense,Ponte Preta,0,0,1.1,1.1,0,0,0
334,Internacional,Chapecoense,0,0,1.09,1.09,0,0,0
335,Ponte Preta,Palmeiras,2,1,1.09,1.09,3,0,1
336,Fluminense,Santa Cruz,2,2,1.07,1.07,4,0,1
337,Cruzeiro,Figueirense,2,2,1.08,1.08,4,0,1
338,Athletico-PR,Atlético Mineiro,1,1,1.08,1.08,2,0,1
339,Santos,Coritiba,2,1,1.07,1.07,3,0,1
340,Chapecoense,América-MG,3,1,1.09,1.09,4,0,1
341,Grêmio,Flamengo,1,0,1.09,1.09,1,0,1
342,São Paulo,Internacional,1,2,1.09,1.09,3,0,1
343,Vitória,Corinthians,3,2,1.09,1.09,5,0,1
344,Sport Recife,Botafogo,1,1,1.07,1.07,2,0,1
345,Botafogo,Athletico-PR,2,1,1.08,1.08,3,0,1
346,Figueirense,Santos,2,2,1.09,1.09,4,0,1
347,América-MG,Vitória,1,1,1.06,1.06,2,0,1
348,Flamengo,Chapecoense,2,2,1.09,1.09,4,0,1
349,Flamengo,Chapecoense,2,2,1.09,1.09,4,0,1
350,Palmeiras,Fluminense,2,0,1.06,1.06,2,0,1
351,Santa Cruz,Cruzeiro,4,1,1.07,1.07,5,0,1
352,Corinthians,Ponte Preta,3,0,1.06,1.06,3,0,1
353,Internacional,Sport Recife,1,0,1.09,1.09,1,0,1
354,Atlético Mineiro,Grêmio,0,3,1.08,1.08,3,0,1
355,Cruzeiro,América-MG,1,1,1.06,1.06,2,0,1
356,Athletico-PR,Figueirense,2,1,1.07,1.07,3,0,1
357,Chapecoense,Santa Cruz,1,1,1.07,1.07,2,0,1
358,Ponte Preta,Flamengo,1,2,1.08,1.08,3,0,1
359,Sport Recife,Corinthians,0,2,1.09,1.09,2,0,1
360,Fluminense,Botafogo,1,0,1.07,1.07,1,0,1
361,São Paulo,Palmeiras,1,0,1.08,1.08,1,0,1
362,Vitória,Atlético Mineiro,1,1,1.06,1.06,2,0,1
363,Grêmio,Coritiba,2,0,1.08,1.08,2,0,1
364,Santos,Internacional,0,1,1.09,1.09,1,0,1
365,Internacional,Athletico-PR,1,0,1.08,1.08,1,0,1
366,Corinthians,Santos,1,0,1.09,1.09,1,0,1
367,Coritiba,Chapecoense,3,4,1.12,1.12,7,0,1
368,Santa Cruz,Sport Recife,0,1,1.08,1.08,1,0,1
369,Santa Cruz,Sport Recife,0,1,1.08,1.08,1,0,1
370,Botafogo,Cruzeiro,0,1,1.08,1.08,1,0,1
371,Figueirense,São Paulo,1,0,1.1,1.1,1,0,1
372,América-MG,Ponte Preta,1,2,1.08,1.08,3,0,1
373,Flamengo,Vitória,1,0,1.04,1.04,1,0,1
374,Palmeiras,Grêmio,4,3,1.08,1.08,7,0,1
375,Athletico-PR,Santa Cruz,1,0,1.05,1.05,1,0,1
376,Chapecoense,Fluminense,0,0,1.09,1.09,0,0,0
377,Corinthians,Coritiba,2,1,1.07,1.07,3,0,1
378,América-MG,Figueirense,1,0,1.09,1.09,1,0,1
379,Santos,Botafogo,3,0,1.08,1.08,3,0,1
380,Flamengo,Palmeiras,1,2,1.07,1.07,3,0,1
381,Grêmio,Ponte Preta,1,0,1.08,1.08,1,0,1
382,Sport Recife,Atlético Mineiro,4,4,1.07,1.07,8,0,1
383,Vitória,Internacional,1,0,1.09,1.09,1,0,1
384,Cruzeiro,São Paulo,0,1,1.09,1.09,1,0,1
385,Internacional,América-MG,3,1,1.07,1.07,4,0,1
386,Ponte Preta,Chapecoense,2,1,1.09,1.09,3,0,1
387,Fluminense,Grêmio,1,1,1.1,1.1,2,0,1
388,São Paulo,Athletico-PR,1,2,1.07,1.07,3,0,1
389,Botafogo,Vitória,1,1,1.07,1.07,2,0,1
390,Coritiba,Sport Recife,3,2,1.08,1.08,5,0,1
391,Atlético Mineiro,Cruzeiro,2,3,1.06,1.06,5,0,1
392,Figueirense,Flamengo,1,0,1.09,1.09,1,0,1
393,Santa Cruz,Santos,0,2,1.1,1.1,2,0,1
394,Santos,Sport Recife,1,2,1.06,1.06,3,0,1
395,Chapecoense,Grêmio,3,3,1.11,1.11,6,0,1
396,Ponte Preta,Athletico-PR,3,2,1.08,1.08,5,0,1
397,São Paulo,Vitória,2,0,1.05,1.05,2,0,1
398,Botafogo,América-MG,3,1,1.07,1.07,4,0,1
399,Santa Cruz,Figueirense,1,0,1.09,1.09,1,0,1
400,Santos,Sport Recife,2,0,1.05,1.05,2,0,1
401,Coritiba,Palmeiras,2,2,1.08,1.08,4,0,1
402,Cruzeiro,Flamengo,0,1,1.08,1.08,1,0,1
403,Internacional,Atlético Mineiro,2,0,1.06,1.06,2,0,1
404,Fluminense,Corinthians,1,0,1.09,1.09,1,0,1
405,Palmeiras,Santa Cruz,3,1,1.04,1.04,4,0,1
406,Athletico-PR,Santos,1,0,1.07,1.07,1,0,1
407,América-MG,Coritiba,2,1,1.08,1.08,3,0,1
408,Atlético Mineiro,Ponte Preta,3,0,1.04,1.04,3,0,1
409,Vitória,Chapecoense,1,2,1.07,1.07,3,0,1
410,Corinthians,Botafogo,3,1,1.05,1.05,4,0,1
411,Figueirense,Internacional,3,2,1.1,1.1,5,0,1
412,Flamengo,São Paulo,2,2,1.09,1.09,4,0,1
413,Sport Recife,Fluminense,2,1,1.08,1.08,3,0,1
414,Grêmio,Cruzeiro,2,0,1.07,1.07,2,0,1
415,Palmeiras,América-MG,2,0,1.02,1.02,2,0,1
416,Chapecoense,Athletico-PR,0,0,1.1,1.1,0,0,0
417,Chapecoense,Athletico-PR,0,0,1.1,1.1,0,0,0
418,Botafogo,Figueirense,0,0,1.08,1.08,0,0,0
419,Santa Cruz,Flamengo,0,1,1.07,1.07,1,0,1
420,Atlético Mineiro,Corinthians,2,1,1.06,1.06,3,0,1
421,Grêmio,Vitória,1,2,1.04,1.04,3,0,1
