,HT,AT,SHT,AHT,+0.5,-0.5,OS,+>=-,target
0,Chapecoense,Coritiba,2,1,1.09,1.09,3,0,1
1,Palmeiras,Atlético Mineiro,2,2,1.08,1.08,4,0,1
2,Fluminense,Joinville,1,0,1.08,1.08,1,0,1
3,Grêmio,Ponte Preta,3,3,1.09,1.09,6,0,1
4,Athletico-PR,Internacional,3,0,1.08,1.08,3,0,1
5,Cruzeiro,Corinthians,0,1,1.09,1.09,1,0,1
6,São Paulo,Flamengo,2,1,1.08,1.08,3,0,1
7,Sport Recife,Figueirense,4,1,1.08,1.08,5,0,1
8,Avaí,Santos,1,1,1.07,1.07,2,0,1
9,Vasco da Gama,Goiás,0,0,1.09,1.09,0,0,0
10,Coritiba,Grêmio,2,0,1.11,1.11,2,0,1
11,Goiás,Athletico-PR,2,0,1.1,1.1,2,0,1
12,Corinthians,Chapecoense,1,0,1.09,1.09,1,0,1
13,Figueirense,Vasco da Gama,0,0,1.09,1.09,0,0,0
14,Atlético Mineiro,Fluminense,4,1,1.08,1.08,5,0,1
15,Flamengo,Sport Recife,2,2,1.07,1.07,4,0,1
16,Santos,Cruzeiro,1,0,1.07,1.07,1,0,1
17,Internacional,Avaí,1,0,1.05,1.05,1,0,1
18,Joinville,Palmeiras,0,0,1.09,1.09,0,0,0
19,Ponte Preta,São Paulo,1,0,1.08,1.08,1,0,1
20,São Paulo,Joinville,3,0,1.08,1.08,3,0,1
21,Vasco da Gama,Internacional,1,1,1.09,1.09,2,0,1
22,Grêmio,Figueirense,1,0,1.08,1.08,1,0,1
23,Palmeiras,Goiás,0,1,1.08,1.08,1,0,1
24,Athletico-PR,Atlético Mineiro,1,0,1.07,1.07,1,0,1
25,Avaí,Flamengo,2,1,1.09,1.09,3,0,1
26,Chapecoense,Santos,1,0,1.09,1.09,1,0,1
27,Fluminense,Corinthians,0,0,1.1,1.1,0,0,0
28,Cruzeiro,Ponte Preta,1,1,1.07,1.07,2,0,1
29,Sport Recife,Coritiba,1,0,1.08,1.08,1,0,1
30,São Paulo,Joinville,3,0,1.08,1.08,3,0,1
31,Vasco da Gama,Internacional,1,1,1.09,1.09,2,0,1
32,Grêmio,Figueirense,1,0,1.08,1.08,1,0,1
33,Palmeiras,Goiás,0,1,1.08,1.08,1,0,1
34,Athletico-PR,Atlético Mineiro,1,0,1.07,1.07,1,0,1
35,Chapecoense,Santos,1,0,1.09,1.09,1,0,1
36,Fluminense,Corinthians,0,0,1.1,1.1,0,0,0
37,Cruzeiro,Ponte Preta,1,1,1.07,1.07,2,0,1
38,Sport Recife,Coritiba,1,0,1.08,1.08,1,0,1
39,Athletico-PR,Figueirense,1,0,1.09,1.09,1,0,1
40,Chapecoense,Joinville,2,0,1.09,1.09,2,0,1
41,Vasco da Gama,Ponte Preta,0,3,1.09,1.09,3,0,1
42,São Paulo,Santos,3,2,1.07,1.07,5,0,1
43,São Paulo,Santos,3,2,1.07,1.07,5,0,1
44,Cruzeiro,Flamengo,1,0,1.07,1.07,1,0,1
45,Grêmio,Corinthians,3,1,1.12,1.12,4,0,1
46,Fluminense,Coritiba,2,0,1.08,1.08,2,0,1
47,Sport Recife,Goiás,1,0,1.09,1.09,1,0,1
48,Atlético Mineiro,Cruzeiro,1,3,1.05,1.05,4,0,1
49,Flamengo,Chapecoense,1,0,1.09,1.09,1,0,1
50,Santos,Ponte Preta,2,2,1.07,1.07,4,0,1
51,Athletico-PR,Vasco da Gama,2,0,1.08,1.08,2,0,1
52,Joinville,Corinthians,0,1,1.11,1.11,1,0,1
53,São Paulo,Grêmio,2,0,1.09,1.09,2,0,1
54,Internacional,Coritiba,2,0,1.08,1.08,2,0,1
55,Figueirense,Palmeiras,2,1,1.09,1.09,3,0,1
56,Fluminense,Sport Recife,0,0,1.08,1.08,0,0,0
57,Goiás,Avaí,0,1,1.09,1.09,1,0,1
58,Atlético Mineiro,Santos,2,2,1.03,1.03,4,0,1
59,Chapecoense,São Paulo,0,1,1.11,1.11,1,0,1
60,Corinthians,Internacional,2,1,1.11,1.11,3,0,1
61,Coritiba,Flamengo,0,1,1.1,1.1,1,0,1
62,Sport Recife,Joinville,2,1,1.08,1.08,3,0,1
63,Vasco da Gama,Cruzeiro,1,3,1.09,1.09,4,0,1
64,Ponte Preta,Goiás,0,0,1.08,1.08,0,0,0
65,Avaí,Figueirense,1,1,1.09,1.09,2,0,1
66,Grêmio,Athletico-PR,2,1,1.09,1.09,3,0,1
67,Palmeiras,Fluminense,2,1,1.09,1.09,3,0,1
68,Figueirense,Internacional,0,0,1.1,1.1,0,0,0
69,Flamengo,Atlético Mineiro,0,2,1.06,1.06,2,0,1
70,Santos,Corinthians,1,0,1.09,1.09,1,0,1
71,Grêmio,Palmeiras,1,0,1.09,1.09,1,0,1
72,Athletico-PR,Coritiba,2,2,1.09,1.09,4,0,1
73,Joinville,Goiás,2,1,1.12,1.12,3,0,1
74,São Paulo,Avaí,1,1,1.06,1.06,2,0,1
75,Fluminense,Ponte Preta,2,0,1.09,1.09,2,0,1
76,Avaí,Grêmio,1,2,1.1,1.1,3,0,1
